assign-to(p11623, r10241)
assign-to(p12947, r9633)
assign-to(p11604, r3380)
assign-to(p11605, r6531)
assign-to(p11606, r1866)
assign-to(p11609, r7795)
assign-to(p11709, r9076)
assign-to(p8912, r6775)
assign-to(p7627, r7407)
assign-to(p8931, r162)
assign-to(p7606, r7663)
assign-to(p7602, r14672)
assign-to(p7611, r7633)
assign-to(p7617, r13868)
assign-to(p5362, r7736)
assign-to(p4030, r4797)
assign-to(p4036, r3625)
assign-to(p5369, r7139)
assign-to(p5341, r10286)
assign-to(p6670, r6718)
assign-to(p6680, r9909)
assign-to(p5356, r6859)
assign-to(p6687, r8219)
assign-to(p4072, r5397)
assign-to(p10495, r5193)
assign-to(p4076, r2964)
assign-to(p10486, r2579)
assign-to(p10478, r1421)
assign-to(p10480, r12206)
assign-to(p10467, r13938)
assign-to(p10454, r3048)
assign-to(p11783, r4831)
assign-to(p10444, r6003)
assign-to(p11769, r12063)
assign-to(p4097, r4926)
assign-to(p4095, r6584)
assign-to(p10423, r10190)
assign-to(p11757, r12913)
assign-to(p10429, r8011)
assign-to(p11753, r6641)
assign-to(p10426, r8560)
assign-to(p10425, r9269)
assign-to(p11743, r2466)
assign-to(p10407, r12299)
assign-to(p11733, r13931)
assign-to(p11728, r1748)
assign-to(p11711, r10658)
assign-to(p11825, r1242)
assign-to(p11801, r1695)
assign-to(p7903, r8868)
assign-to(p7911, r10917)
assign-to(p6625, r10861)
assign-to(p6628, r4199)
assign-to(p7924, r2299)
assign-to(p7926, r1972)
assign-to(p7928, r2522)
assign-to(p6606, r8000)
assign-to(p7932, r5774)
assign-to(p6605, r5946)
assign-to(p6609, r13978)
assign-to(p5321, r11040)
assign-to(p6652, r7164)
assign-to(p5327, r11623)
assign-to(p7960, r1792)
assign-to(p6630, r1380)
assign-to(p5305, r11221)
assign-to(p7971, r6676)
assign-to(p5314, r13603)
assign-to(p6644, r476)
assign-to(p6572, r574)
assign-to(p6583, r3900)
assign-to(p5251, r7030)
assign-to(p6585, r10904)
assign-to(p6552, r12491)
assign-to(p5225, r11494)
assign-to(p7888, r11307)
assign-to(p5229, r7282)
assign-to(p5231, r3410)
assign-to(p5235, r13409)
assign-to(p7893, r14036)
assign-to(p5239, r12499)
